Gen;Max;Avg
22;250;166.2
23;250;167.6
24;250;164
25;250;199.4
26;250;149.6
27;260;186
28;260;160.8
29;260;142
30;260;140
31;260;173.8
32;260;148
33;260;179
34;260;146.8
35;260;153.4
36;260;151.8
37;260;171.8
38;260;187
39;260;194.8
40;260;175.2
41;260;179
42;260;213.8
43;260;201.8
44;260;182.6
45;260;188.6
46;260;183
47;260;188.6
48;260;193
49;260;178.2

Najlepsze rozwiazanie: Wartosc=260
Przedmioty: 0 1 4 6 7

Gen;Max;Avg
0;250;56.4
1;220;100.8
2;250;115.8
3;250;120.8
4;250;139.6
5;250;151
6;250;167.2
7;250;164.8
8;250;170
9;250;168.6
10;250;188.4
11;250;183.6
12;250;167
13;250;188.6
14;250;163.6
15;250;179
16;250;195.4
17;250;162
18;250;166.8
19;250;163.6
20;250;190.2
21;250;183.6
22;250;153.6
23;250;166
24;250;200
25;250;173.4
26;250;173.6
27;250;210.2
28;250;184.2
29;250;161.4
30;250;209.6
31;250;175.8
32;250;194.4
33;250;173.2
34;250;184.4
35;250;181.6
36;250;180.2
37;250;177.4
38;250;179
39;250;188.6
40;250;168.4
41;250;173
42;250;166.4
43;250;170.6
44;250;186.6
45;250;167.8
46;250;195.2
47;250;192.8
48;250;198
49;250;183

Najlepsze rozwiazanie: Wartosc=250
Przedmioty: 0 3 4 5 6

Gen;Max;Avg
0;240;72.4
1;240;111.8
2;240;118.2
3;250;112.8
4;240;109.4
5;240;126
6;240;147.6
7;240;126.8
8;240;144.4
9;240;136.2
10;240;111.8
11;240;121.4
12;240;124.4
13;240;159.4
14;240;166.8
15;240;166
16;240;163
17;240;165.2
18;240;155.2
19;240;162.4
20;240;165.6
21;240;155
22;240;148.4
23;240;159.2
24;240;163.6
25;240;151.4
26;240;153.4
27;240;156
28;240;156.2
29;240;173.4
30;240;167.6
31;240;149.4
32;240;153.8
33;240;144.8
34;240;166.4
35;240;128.4
36;240;160.2
37;240;141.8
38;240;148.2
39;240;148.8
40;240;170.8
41;240;168.6
42;240;181
43;240;149
44;240;134.4
45;240;160.6
46;240;138.8
47;240;155.8
48;240;160
49;240;163.8

Najlepsze rozwiazanie: Wartosc=240
Przedmioty: 1 4 9
